label,ssim,psnr
001_001_85,0.6997361183166504,15.147666931152344
001_001_86,0.6828600168228149,15.08210563659668
001_001_87,0.6209052205085754,14.082736015319824
001_001_88,0.3950648903846741,12.844090461730955
001_001_89,0.2515745162963867,6.669841766357422
001_001_8,0.658207356929779,14.66285228729248
001_001_90,0.2340791374444961,7.296751022338867
001_001_91,0.4529772400856018,12.308497428894045
001_001_92,0.274983137845993,10.355013847351074
001_001_93,0.7513314485549927,15.00005340576172
001_001_94,0.4115079045295715,8.836666107177734
001_001_9,0.6821532845497131,15.131526947021484
001_002_10,0.6706914305686951,14.734773635864258
001_002_11,0.6729716658592224,13.99623680114746
001_002_12,0.6984043717384338,14.359060287475586
001_002_13,0.4523214399814605,12.412113189697266
001_002_14,0.6540042757987976,14.405801773071287
001_002_15,0.6755733489990234,14.518798828125
001_002_16,0.6972389817237854,14.272932052612305
001_002_17,0.6339980959892273,13.56251335144043
001_002_18,0.6539427042007446,14.059688568115234
001_002_19,0.366073340177536,9.845165252685549
001_002_1,0.623588502407074,14.465055465698242
001_002_20,0.6005957722663879,13.775505065917969
001_002_21,0.6051689982414246,13.64853858947754
001_002_22,0.7291768789291382,15.086554527282717
001_002_23,0.7321767210960388,15.054786682128906
001_002_24,0.6979888677597046,14.603938102722168
001_002_25,0.7127853631973267,14.855633735656738
001_002_26,0.7453057169914246,15.111608505249023
001_002_27,0.5737287998199463,14.144869804382324
001_002_28,0.6622142791748047,14.433279991149902
001_002_29,0.5816729664802551,13.043331146240234
001_002_2,0.3701787889003753,11.841251373291016
001_002_30,0.6998578310012817,14.883481979370115
001_002_31,0.3256545066833496,6.641237735748291
001_002_32,0.6655808687210083,14.427428245544434
001_002_33,0.2784765958786011,10.453911781311035
001_002_34,0.6557500958442688,14.989651679992676
001_002_35,0.6645837426185608,15.15101432800293
001_002_36,0.6889685392379761,15.294178009033203
001_002_37,0.5556036233901978,13.703338623046877
001_002_38,0.592307984828949,14.08580207824707
001_002_39,0.3979192972183227,10.491804122924805
001_002_3,0.2938468158245086,5.85388708114624
001_002_40,0.7178987860679626,14.618119239807127
001_002_41,0.5989251136779785,13.277267456054688
001_002_42,0.5822702646255493,12.727008819580078
001_002_43,0.636684238910675,14.068910598754885
001_002_44,0.6107300519943237,14.157552719116213
001_002_45,0.5984577536582947,13.565834045410156
001_002_46,0.4808244705200195,11.675687789916992
001_002_47,0.5588722825050354,13.907891273498535
001_002_48,0.4684142768383026,12.493606567382812
001_002_49,0.5329561233520508,13.05296516418457
001_002_4,0.4286214709281921,12.74207878112793
001_002_50,0.4438997209072113,12.815973281860352
001_002_51,0.4723484218120575,11.893594741821287
001_002_52,0.4187124073505401,11.712760925292969
001_002_53,0.5712448954582214,14.527491569519045
001_002_54,0.4890961050987243,11.211791038513184
001_002_55,0.5013478398323059,12.572406768798828
